Incident Datetime;Incident Date;Incident Time;Incident Day of Week;Report Datetime;Incident Category;Resolution;Police District ;Analysis Neighborhood;Latitude;Longitude
17/02/2023 04:30;17/02/2023;04:30;Friday;17/02/2023 07:18;Malicious Mischief;Open or Active;Bayview;Bayview Hunters Point;37.71369334931079;-122.39826589625429
16/03/2023 17:40;16/03/2023;17:40;Thursday;16/03/2023 17:40;Other Offenses;Open or Active;Bayview;Bayview Hunters Point;37.72778395579471;-122.37223376860686
23/03/2023 12:00;23/03/2023;12:00;Thursday;23/03/2023 12:37;Non-Criminal;Open or Active;Bayview;Bayview Hunters Point;37.71752615792832;-122.39159941138196
23/03/2023 08:00;23/03/2023;08:00;Thursday;23/03/2023 08:39;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.727859992471934;-122.38511885228444
23/03/2023 08:00;23/03/2023;08:00;Thursday;23/03/2023 08:36;Other Miscellaneous;Open or Active;Bayview;Bayview Hunters Point;37.727859992471934;-122.38511885228444
22/03/2023 19:31;22/03/2023;19:31;Wednesday;23/03/2023 00:07;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.73497690238017;-122.38313398537929
18/02/2023 15:00;18/02/2023;15:00;Saturday;20/02/2023 09:51;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.73864877116737;-122.40080826801052
23/03/2023 08:30;23/03/2023;08:30;Thursday;23/03/2023 10:19;Disorderly Conduct;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73660452681319;-122.38363786204994
23/11/2022 17:30;23/11/2022;17:30;Wednesday;24/11/2022 13:47;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.74597422469076;-122.39704283791049
23/03/2023 12:00;23/03/2023;12:00;Thursday;23/03/2023 12:37;Other Miscellaneous;Open or Active;Bayview;Bayview Hunters Point;37.71752615792832;-122.39159941138196
23/03/2023 08:30;23/03/2023;08:30;Thursday;23/03/2023 10:19;Assault;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73660452681319;-122.38363786204994
23/03/2023 19:18;23/03/2023;19:18;Thursday;23/03/2023 19:19;Non-Criminal;Open or Active;Bayview;Bayview Hunters Point;37.75020597412777;-122.3885077306853
05/11/2022 11:00;05/11/2022;11:00;Saturday;22/11/2022 13:14;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.7528356110411;-122.38775628177875
23/03/2023 08:30;23/03/2023;08:30;Thursday;23/03/2023 10:19;Assault;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73660452681319;-122.38363786204994
22/03/2023 19:31;22/03/2023;19:31;Wednesday;23/03/2023 00:07;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.73497690238017;-122.38313398537929
22/03/2023 22:59;22/03/2023;22:59;Wednesday;22/03/2023 22:59;Suspicious Occ;Open or Active;Bayview;Bayview Hunters Point;37.717178947506795;-122.38626501459227
23/03/2023 12:00;23/03/2023;12:00;Thursday;23/03/2023 12:37;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.71752615792832;-122.39159941138196
07/12/2022 19:00;07/12/2022;19:00;Wednesday;08/12/2022 13:17;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.72344678051801;-122.40007300242718
06/12/2022 08:03;06/12/2022;08:03;Tuesday;07/12/2022 17:05;Malicious Mischief;Open or Active;Bayview;Bayview Hunters Point;37.73306987628829;-122.3776486254886
21/03/2023 22:00;21/03/2023;22:00;Tuesday;22/03/2023 13:43;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.72921143709946;-122.4008340165116
15/10/2022 23:30;15/10/2022;23:30;Saturday;26/10/2022 11:26;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.74906582026698;-122.3864279302503
22/03/2023 11:33;22/03/2023;11:33;Wednesday;22/03/2023 11:33;Assault;Open or Active;Bayview;Bayview Hunters Point;37.71911364145084;-122.39298153999458
23/03/2023 08:00;23/03/2023;08:00;Thursday;23/03/2023 08:36;Traffic Collision;Open or Active;Bayview;Bayview Hunters Point;37.727859992471934;-122.38511885228444
12/12/2022 05:10;12/12/2022;05:10;Monday;13/12/2022 18:53;Lost Property;Open or Active;Bayview;Bayview Hunters Point;37.73016676314127;-122.38585274114044
23/03/2023 08:00;23/03/2023;08:00;Thursday;23/03/2023 08:36;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.727859992471934;-122.38511885228444
30/11/2022 10:00;30/11/2022;10:00;Wednesday;30/11/2022 11:32;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.73832136115452;-122.40564673809936
23/03/2023 19:18;23/03/2023;19:18;Thursday;23/03/2023 19:19;Other Miscellaneous;Open or Active;Bayview;Bayview Hunters Point;37.75020597412777;-122.3885077306853
29/09/2023 16:53;29/09/2023;16:53;Friday;29/09/2023 16:53;Recovered Vehicle;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73100987038522;-122.37699954645048
29/09/2023 19:38;29/09/2023;19:38;Friday;29/09/2023 19:47;Assault;Open or Active;Bayview;Bayview Hunters Point;37.73016676314127;-122.38585274114044
29/09/2023 16:53;29/09/2023;16:53;Friday;29/09/2023 16:53;Recovered Vehicle;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73100987038522;-122.37699954645048
29/09/2023 17:52;29/09/2023;17:52;Friday;29/09/2023 17:52;Other Offenses;Open or Active;Bayview;Bayview Hunters Point;37.73100987038522;-122.37699954645048
28/09/2023 22:00;28/09/2023;22:00;Thursday;29/09/2023 14:25;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.736686282580905;-122.39568562829403
29/09/2023 08:10;29/09/2023;08:10;Friday;29/09/2023 08:10;Recovered Vehicle;Open or Active;Bayview;Bayview Hunters Point;37.73448153557139;-122.40220172532516
29/09/2023 01:11;29/09/2023;01:11;Friday;29/09/2023 01:16;Weapons Offense;Open or Active;Bayview;Bayview Hunters Point;37.72872846256451;-122.38998131767396
29/09/2023 16:30;29/09/2023;16:30;Friday;29/09/2023 16:30;Missing Person;Open or Active;Bayview;Bayview Hunters Point;37.72990988256753;-122.39717687851248
29/09/2023 01:00;29/09/2023;01:00;Friday;29/09/2023 15:00;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.74980378490234;-122.3953078624741
29/09/2023 16:53;29/09/2023;16:53;Friday;29/09/2023 16:53;Stolen Property;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73100987038522;-122.37699954645048
28/09/2023 18:00;28/09/2023;18:00;Thursday;29/09/2023 12:13;Burglary;Open or Active;Bayview;Bayview Hunters Point;37.734013871373556;-122.39096789139202
28/09/2023 14:40;28/09/2023;14:40;Thursday;28/09/2023 15:55;Disorderly Conduct;Open or Active;Bayview;Bayview Hunters Point;37.73528591836444;-122.39990933421034
05/01/2022 10:00;05/01/2022;10:00;Wednesday;08/01/2022 16:25;Burglary;Open or Active;Ingleside;Bernal Heights;37.738601489255814;-122.42335265868996
28/02/2022 17:44;28/02/2022;17:44;Monday;28/02/2022 17:47;Assault;Open or Active;Ingleside;Bernal Heights;37.73515284656982;-122.4221208078308
01/04/2022 01:50;01/04/2022;01:50;Friday;01/04/2022 02:03;Robbery;Open or Active;Ingleside;Bernal Heights;37.73606117177687;-122.42446626401404
30/12/2022 11:00;30/12/2022;11:00;Friday;30/12/2022 11:00;Missing Person;Open or Active;Ingleside;Bernal Heights;37.73515284656982;-122.4221208078308
29/04/2024 17:28;29/04/2024;17:28;Monday;02/05/2024 00:14;Larceny Theft;Cite or Arrest Adult;Ingleside;Bernal Heights;37.74312210083008;-122.4214859008789
28/09/2023 08:05;28/09/2023;08:05;Thursday;28/09/2023 08:24;Burglary;Open or Active;Ingleside;Bernal Heights;37.738851260057956;-122.40895720699787
26/09/2023 22:00;26/09/2023;22:00;Tuesday;29/09/2023 11:29;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73613745892042;-122.42013382141647
20/02/2023 18:43;20/02/2023;18:43;Monday;20/02/2023 18:46;Robbery;Cite or Arrest Adult;Ingleside;Bernal Heights;37.747553211710034;-122.40957172824133
22/03/2023 17:00;22/03/2023;17:00;Wednesday;23/03/2023 08:36;Motor Vehicle Theft;Open or Active;Ingleside;Bernal Heights;37.74717101922593;-122.41357113302529
22/03/2023 19:09;22/03/2023;19:09;Wednesday;22/03/2023 19:09;Other Miscellaneous;Open or Active;Ingleside;Bernal Heights;37.748352846732004;-122.40870631426053
23/03/2023 14:59;23/03/2023;14:59;Thursday;23/03/2023 14:59;Other Miscellaneous;Open or Active;Ingleside;Bernal Heights;37.74694113783407;-122.41061909895916
26/01/2023 22:15;26/01/2023;22:15;Thursday;26/01/2023 22:21;Robbery;Cite or Arrest Adult;Ingleside;Bernal Heights;37.746182682139505;-122.41950511517184
23/03/2023 18:26;23/03/2023;18:26;Thursday;23/03/2023 22:05;Motor Vehicle Theft;Open or Active;Ingleside;Bernal Heights;37.7332783799534;-122.41382404252862
10/07/2023 12:30;10/07/2023;12:30;Monday;10/07/2023 19:55;Motor Vehicle Theft;Open or Active;Bayview;Bernal Heights;37.74429791488461;-122.40452729048533
28/09/2023 12:00;28/09/2023;12:00;Thursday;29/09/2023 08:49;Fraud;Open or Active;Ingleside;Bernal Heights;37.745238828766574;-122.41145159629264
13/09/2023 14:00;13/09/2023;14:00;Wednesday;29/09/2023 12:22;Burglary;Open or Active;Ingleside;Bernal Heights;37.73498324878391;-122.41872451255637
29/09/2023 14:45;29/09/2023;14:45;Friday;29/09/2023 15:05;Suspicious Occ;Open or Active;Ingleside;Bernal Heights;37.747430713456296;-122.4072709297569
29/09/2023 14:45;29/09/2023;14:45;Friday;29/09/2023 15:05;Non-Criminal;Open or Active;Ingleside;Bernal Heights;37.747430713456296;-122.4072709297569
22/03/2023 21:00;22/03/2023;21:00;Wednesday;24/03/2023 20:59;Motor Vehicle Theft;Open or Active;Ingleside;Bernal Heights;37.740287023385456;-122.41330664540044
09/03/2023 02:00;09/03/2023;02:00;Thursday;13/03/2023 10:54;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73898204981367;-122.41331182373415
24/03/2023 05:00;24/03/2023;05:00;Friday;24/03/2023 20:07;Missing Person;Open or Active;Ingleside;Bernal Heights;37.74475879541879;-122.42243884694496
24/03/2023 20:20;24/03/2023;20:20;Friday;24/03/2023 20:45;Assault;Open or Active;Ingleside;Bernal Heights;37.74237539724614;-122.42196876280964
02/05/2024 12:15;02/05/2024;12:15;Thursday;02/05/2024 13:56;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73537063598633;-122.4247055053711
01/05/2024 17:30;01/05/2024;17:30;Wednesday;01/05/2024 21:05;Miscellaneous Investigation;Open or Active;Ingleside;Bernal Heights;37.73313903808594;-122.42202758789062
02/05/2024 17:03;02/05/2024;17:03;Thursday;02/05/2024 17:04;Weapons Offense;Open or Active;Ingleside;Bernal Heights;37.74694061279297;-122.4106216430664
01/05/2024 23:13;01/05/2024;23:13;Wednesday;01/05/2024 23:13;Other Miscellaneous;Open or Active;Ingleside;Bernal Heights;37.74676513671875;-122.41352844238281
01/05/2024 20:38;01/05/2024;20:38;Wednesday;01/05/2024 20:57;Non-Criminal;Open or Active;Ingleside;Bernal Heights;37.73693084716797;-122.41099548339844
02/05/2024 17:03;02/05/2024;17:03;Thursday;02/05/2024 17:04;Non-Criminal;Open or Active;Ingleside;Bernal Heights;37.74694061279297;-122.4106216430664
01/05/2024 23:13;01/05/2024;23:13;Wednesday;01/05/2024 23:13;;Open or Active;Ingleside;Bernal Heights;37.74676513671875;-122.41352844238281
29/09/2023 23:14;29/09/2023;23:14;Friday;29/09/2023 23:14;Drug Violation;Cite or Arrest Adult;Bayview;Bernal Heights;37.74429791488461;-122.40452729048533
27/09/2023 16:45;27/09/2023;16:45;Wednesday;27/09/2023 19:43;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.746182682139505;-122.41950511517184
29/09/2023 23:14;29/09/2023;23:14;Friday;29/09/2023 23:14;Weapons Carrying Etc;Cite or Arrest Adult;Bayview;Bernal Heights;37.74429791488461;-122.40452729048533
29/09/2023 18:00;29/09/2023;18:00;Friday;30/09/2023 13:31;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.739680773974726;-122.40888307605414
30/09/2023 01:00;30/09/2023;01:00;Saturday;30/09/2023 16:00;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.737037437400915;-122.41663138424813
26/09/2023 23:00;26/09/2023;23:00;Tuesday;28/09/2023 12:44;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.74816568813204;-122.41822117169174
29/09/2023 18:00;29/09/2023;18:00;Friday;30/09/2023 13:31;Malicious Mischief;Open or Active;Ingleside;Bernal Heights;37.739680773974726;-122.40888307605414
27/09/2023 20:00;27/09/2023;20:00;Wednesday;30/09/2023 06:15;Malicious Mischief;Open or Active;Ingleside;Bernal Heights;37.742294531866975;-122.42328556239953
29/09/2023 23:14;29/09/2023;23:14;Friday;29/09/2023 23:14;Weapons Offense;Cite or Arrest Adult;Bayview;Bernal Heights;37.74429791488461;-122.40452729048533
25/03/2023 16:00;25/03/2023;16:00;Saturday;26/03/2023 00:30;Motor Vehicle Theft;Open or Active;Ingleside;Bernal Heights;37.732261252752224;-122.42348641495892
11/02/2023 11:00;11/02/2023;11:00;Saturday;12/02/2023 13:37;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.74432485644651;-122.410388561123
25/03/2023 11:10;25/03/2023;11:10;Saturday;26/03/2023 07:23;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.745717736972985;-122.41723985187014
16/02/2023 18:45;16/02/2023;18:45;Thursday;17/02/2023 08:11;Malicious Mischief;Open or Active;Ingleside;Bernal Heights;37.74235572611691;-122.40815695158601
24/03/2023 19:40;24/03/2023;19:40;Friday;25/03/2023 13:19;Motor Vehicle Theft;Open or Active;Ingleside;Bernal Heights;37.74588165352899;-122.41764047375295
09/02/2023 14:00;09/02/2023;14:00;Thursday;10/02/2023 16:37;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73841786714329;-122.41522487807109
26/03/2023 08:57;26/03/2023;08:57;Sunday;26/03/2023 09:33;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.746044070290935;-122.41501656648384
26/03/2023 08:57;26/03/2023;08:57;Sunday;26/03/2023 09:33;Disorderly Conduct;Open or Active;Ingleside;Bernal Heights;37.746044070290935;-122.41501656648384
26/03/2023 08:57;26/03/2023;08:57;Sunday;26/03/2023 09:33;Malicious Mischief;Open or Active;Ingleside;Bernal Heights;37.746044070290935;-122.41501656648384
06/02/2023 06:00;06/02/2023;06:00;Monday;13/02/2023 10:56;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73998455650765;-122.42027504572214
26/03/2023 06:59;26/03/2023;06:59;Sunday;26/03/2023 07:08;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.745439134632335;-122.41655911313254
24/01/2023 14:00;24/01/2023;14:00;Tuesday;06/02/2023 11:46;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.744885840667685;-122.40760144415937
15/02/2023 02:00;15/02/2023;02:00;Wednesday;15/02/2023 10:47;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.74312266332609;-122.42148545138262
01/10/2023 00:23;01/10/2023;00:23;Sunday;01/10/2023 00:53;Assault;Open or Active;Ingleside;Bernal Heights;37.73673747890443;-122.42423508432185
30/09/2023 20:00;30/09/2023;20:00;Saturday;01/10/2023 10:26;Burglary;Open or Active;Ingleside;Bernal Heights;37.738209618458306;-122.41150254084468
10/07/2023 12:00;10/07/2023;12:00;Monday;10/07/2023 12:00;Weapons Offense;Cite or Arrest Adult;Ingleside;Bernal Heights;37.739121436821975;-122.41713881998882
22/03/2023 09:15;22/03/2023;09:15;Wednesday;27/03/2023 12:24;Recovered Vehicle;Open or Active;Ingleside;Bernal Heights;37.745664594640424;-122.40897329299571
09/02/2023 12:44;09/02/2023;12:44;Thursday;14/02/2023 15:55;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.7348557150529;-122.41617187986607
27/03/2023 12:40;27/03/2023;12:40;Monday;27/03/2023 13:23;Disorderly Conduct;Open or Active;Ingleside;Bernal Heights;37.740226877704835;-122.41206190275378
26/03/2023 22:40;26/03/2023;22:40;Sunday;26/03/2023 22:46;Assault;Cite or Arrest Adult;Ingleside;Bernal Heights;37.74312266332609;-122.42148545138262
27/03/2023 13:22;27/03/2023;13:22;Monday;27/03/2023 14:02;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.74237539724614;-122.42196876280964
22/02/2023 08:25;22/02/2023;08:25;Wednesday;22/02/2023 13:14;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.74312266332609;-122.42148545138262
27/03/2023 19:10;27/03/2023;19:10;Monday;27/03/2023 19:14;Robbery;Open or Active;Ingleside;Bernal Heights;37.741760487793414;-122.42236646065211
27/03/2023 23:30;27/03/2023;23:30;Monday;27/03/2023 23:48;Weapons Offense;Open or Active;Ingleside;Bernal Heights;37.739717624128595;-122.40949339489217
02/02/2023 19:30;02/02/2023;19:30;Thursday;23/02/2023 10:15;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73427799690997;-122.42579180464467
02/03/2023 22:00;02/03/2023;22:00;Thursday;12/03/2023 10:58;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.73725978865716;-122.42108045548981
20/03/2023 10:00;20/03/2023;10:00;Monday;27/03/2023 14:50;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.739311469493096;-122.41265698685157
12/11/2022 18:30;12/11/2022;18:30;Saturday;12/11/2022 19:33;Larceny Theft;Open or Active;Ingleside;Bernal Heights;37.74559509558596;-122.41988576485541
26/03/2023 22:40;26/03/2023;22:40;Sunday;26/03/2023 22:46;Weapons Offense;Cite or Arrest Adult;Ingleside;Bernal Heights;37.74312266332609;-122.42148545138262
27/03/2023 23:30;27/03/2023;23:30;Monday;27/03/2023 23:48;Disorderly Conduct;Open or Active;Ingleside;Bernal Heights;37.739717624128595;-122.40949339489217
26/03/2023 22:40;26/03/2023;22:40;Sunday;26/03/2023 22:46;Weapons Carrying Etc;Cite or Arrest Adult;Ingleside;Bernal Heights;37.74312266332609;-122.42148545138262
03/08/2021 10:51;03/08/2021;10:51;Tuesday;03/08/2021 10:51;Non-Criminal;Open or Active;Mission;Castro/Upper Market;37.76088893209152;-122.4350007026991
20/09/2021 15:52;20/09/2021;15:52;Monday;20/09/2021 15:57;Assault;Open or Active;Mission;Castro/Upper Market;37.7609547379289;-122.43390358046642
25/10/2021 08:40;25/10/2021;08:40;Monday;25/10/2021 10:50;Non-Criminal;Open or Active;Mission;Castro/Upper Market;37.76457441622863;-122.42756044981434
01/01/2023 01:00;01/01/2023;01:00;Sunday;01/01/2023 11:49;Lost Property;Open or Active;Mission;Castro/Upper Market;37.76255082381586;-122.43406238857597
09/08/2022 07:56;09/08/2022;07:56;Tuesday;09/08/2022 07:56;Other;Open or Active;Park;Castro/Upper Market;37.76410227052293;-122.43531729847254
02/09/2023 19:00;02/09/2023;19:00;Saturday;29/09/2023 19:50;Missing Person;Open or Active;Park;Castro/Upper Market;37.767528443706794;-122.43229924087287
08/09/2023 08:00;08/09/2023;08:00;Friday;29/09/2023 13:03;Suspicious Occ;Open or Active;Mission;Castro/Upper Market;37.763576332444025;-122.42857510738612
24/09/2023 12:13;24/09/2023;12:13;Sunday;29/09/2023 18:21;Fraud;Open or Active;Mission;Castro/Upper Market;37.76288986498137;-122.42850875070255
29/09/2023 03:26;29/09/2023;03:26;Friday;29/09/2023 03:26;Burglary;Open or Active;Park;Castro/Upper Market;37.76419571221531;-122.43307447227019
11/08/2022 08:00;11/08/2022;08:00;Thursday;16/11/2022 19:49;Larceny Theft;Open or Active;Mission;Castro/Upper Market;37.76419571221531;-122.43307447227019
23/03/2023 17:16;23/03/2023;17:16;Thursday;23/03/2023 17:59;Vehicle Misplaced;Open or Active;Mission;Castro/Upper Market;37.761895473484444;-122.43729872108223
22/03/2023 14:40;22/03/2023;14:40;Wednesday;22/03/2023 14:40;Traffic Collision;Open or Active;Mission;Castro/Upper Market;37.7612895722579;-122.4283540660218
12/03/2023 22:10;12/03/2023;22:10;Sunday;12/03/2023 22:17;Burglary;Open or Active;Mission;Castro/Upper Market;37.75720270579642;-122.43012931619916
26/11/2022 12:49;26/11/2022;12:49;Saturday;29/11/2022 10:04;Larceny Theft;Open or Active;Mission;Castro/Upper Market;37.76048861073579;-122.44156413536328
23/03/2023 02:16;23/03/2023;02:16;Thursday;23/03/2023 12:21;Malicious Mischief;Open or Active;Park;Castro/Upper Market;37.76746158246703;-122.43340825880185
19/03/2023 10:50;19/03/2023;10:50;Sunday;21/03/2023 22:52;Lost Property;Open or Active;Mission;Castro/Upper Market;37.76419571221531;-122.43307447227019
03/11/2022 05:08;03/11/2022;05:08;Thursday;03/11/2022 17:59;Lost Property;Open or Active;Mission;Castro/Upper Market;37.75729223581638;-122.42796960542549
23/03/2023 16:25;23/03/2023;16:25;Thursday;23/03/2023 16:34;Malicious Mischief;Open or Active;Park;Castro/Upper Market;37.76529509785884;-122.44193191385737
27/09/2023 12:52;27/09/2023;12:52;Wednesday;27/09/2023 12:58;Assault;Open or Active;Mission;Castro/Upper Market;37.7612895722579;-122.4283540660218
29/09/2023 15:33;29/09/2023;15:33;Friday;29/09/2023 15:40;Burglary;Open or Active;Park;Castro/Upper Market;37.76419571221531;-122.43307447227019
26/09/2023 12:00;26/09/2023;12:00;Tuesday;29/09/2023 13:51;Other Miscellaneous;Open or Active;Mission;Castro/Upper Market;37.76457441622863;-122.42756044981434
27/09/2023 12:52;27/09/2023;12:52;Wednesday;27/09/2023 12:58;Other Miscellaneous;Open or Active;Mission;Castro/Upper Market;37.7612895722579;-122.4283540660218
29/09/2023 12:31;29/09/2023;12:31;Friday;29/09/2023 12:32;Drug Offense;Cite or Arrest Adult;Mission;Castro/Upper Market;37.76750445867602;-122.42894856756236
27/09/2023 12:52;27/09/2023;12:52;Wednesday;27/09/2023 12:58;Assault;Open or Active;Mission;Castro/Upper Market;37.7612895722579;-122.4283540660218
29/09/2023 12:31;29/09/2023;12:31;Friday;29/09/2023 12:32;Warrant;Cite or Arrest Adult;Mission;Castro/Upper Market;37.76750445867602;-122.42894856756236
